á	a u
aðbúnaður	a ð p u n a ð ʏ r
adda	a t a
aðdáanda	a ð t a u a n t a
aðdáandi	a ð t a u a n t ɪ
aðdáendum	a ð t a u ɛ n t ʏ m
aðdáendur	a ð t a u ɛ n t ʏ r
aðdáun	a ð t a u ʏ n
aðdáunar	a ð t a u ʏ n a r
aðdáunaraugum	a ð t a u ʏ n a r ø y ɣ ʏ m
aðdáunarverð	a ð t a u ʏ n a r v ɛ r ð
aðdáunin	a ð t a u ʏ n ɪ n
aðdraganda	a ð t r a ɣ a n t a
addý	a t i
aðeins	a ð e i n s
adela	a t ɛ l a
aðfangadag	a ð f a u ŋ k a t a ɣ
aðfararnótt	a ð f a r a r t n o u h t
aðferð	a ð f ɛ r ð
aðferðafræði	a ð f ɛ r ð a f r a i ð ɪ
aðferðir	a ð f ɛ r ð ɪ r
aðför	a ð f œ r
aðgang	a ð k a u ŋ k
aðgangi	a ð k a u ŋ c ɪ
aðgangseyrir	a ð k a u ŋ k s e i r ɪ r
aðgangsharðir	a ð k a u ŋ k s h a r ð ɪ r
aðgangsorðum	a ð k a u ŋ k s ɔ r ð ʏ m
aðgangur	a ð k a u ŋ k ʏ r
aðgátar	a ð k a u t a r
aðgengi	a ð k e i ɲ c ɪ
aðgengilegar	a ð k e i ɲ c ɪ l ɛ ɣ a r
aðgengilegt	a ð k e i ɲ c ɪ l ɛ ɣ t
aðgengilegur	a ð k e i ɲ c ɪ l ɛ ɣ ʏ r
aðgerð	a ð c ɛ r ð
aðgerða	a ð c ɛ r ð a
aðgerðaáætlun	a ð c ɛ r ð a a u a i h t l ʏ n
aðgerðaleysið	a ð c ɛ r ð a l e i s ɪ ð
aðgerðalítið	a ð c ɛ r ð a l i t ɪ ð
aðgerðarleysi	a ð c ɛ r ð a r l e i s ɪ
aðgerðin	a ð c ɛ r ð ɪ n
aðgerðir	a ð c ɛ r ð ɪ r
aðgerðirnar	a ð c ɛ r ð ɪ r t n a r
aðgerðum	a ð c ɛ r ð ʏ m
aðgerðunum	a ð c ɛ r ð ʏ n ʏ m
aðhald	a ð h a l t
aðhaldið	a ð h a l t ɪ ð
aðhalds	a ð h a l t s
aðhefst	a ð h ɛ f s t
adíel	a t i j ɛ l
aðila	a ð ɪ l a
aðilanna	a ð ɪ l a n a
aðilar	a ð ɪ l a r
aðild	a ð ɪ l t
aðildar	a ð ɪ l t a r
aðildarviðræðna	a ð ɪ l t a r v ɪ ð r a i ð n a
aðildarviðræður	a ð ɪ l t a r v ɪ ð r a i ð ʏ r
aðilum	a ð ɪ l ʏ m
aðkeypt	a ð kʰ e i f t
aðkoma	a ð kʰ ɔ m a
aðkoman	a ð kʰ ɔ m a n
aðkomumenn	a ð kʰ ɔ m ʏ m ɛ n
aðlagast	a ð l a k a s t
aðlögun	a ð l œ ɣ ʏ n
aðlögunartími	a ð l œ ɣ ʏ n a r tʰ i m ɪ
adolf	a t ɔ l v
aðra	a ð r a
aðrar	a ð r a r
adrían	a t r i a n
aðrir	a ð r ɪ r
aðsetur	a ð s ɛ t ʏ r
aðsigi	a ð s ɪ i j ɪ
aðskilnað	a ð s c ɪ l n a ð
aðskilnaði	a ð s c ɪ l n a ð ɪ
aðskotahlut	a ð s k ɔ t a l̥ ʏ t
aðsókn	a ð s o u h k n
aðsóknarmet	a ð s o u h k n a r m ɛ t
aðstaða	a ð s t a ð a
aðstæðum	a ð s t a i ð ʏ m
aðstæður	a ð s t a i ð ʏ r
aðstæðurnar	a ð s t a i ð ʏ r t n a r
aðstandenda	a ð s t a n t ɛ n t a
aðstandendum	a ð s t a n t ɛ n t ʏ m
aðstoð	a ð s t ɔ ð
aðstoða	a ð s t ɔ ð a
aðstoðaði	a ð s t ɔ ð a ð ɪ
aðstoðar	a ð s t ɔ ð a r
aðstoðardómarinn	a ð s t ɔ ð a r t o u m a r ɪ n
aðstoðarforstjóri	a ð s t ɔ ð a r f ɔ r̥ s t j o u r ɪ
aðstoðarinnar	a ð s t ɔ ð a r ɪ n a r
aðstoðarmaður	a ð s t ɔ ð a r m a ð ʏ r
aðstoðarmenn	a ð s t ɔ ð a r m ɛ n
aðstoðina	a ð s t ɔ ð ɪ n a
aðstöðu	a ð s t œ ð ʏ
aðstoðuðu	a ð s t ɔ ð ʏ ð ʏ
aðstöðuna	a ð s t œ ð ʏ n a
áður	a u ð ʏ r
aðvara	a ð v a r a
aðvaraður	a ð v a r a ð ʏ r
aðvaranir	a ð v a r a n ɪ r
aðventa	a ð v ɛ n̥ t a
aðventuljós	a ð v ɛ n̥ t ʏ l j o u s
aðþrengd	a θ θ r e i ŋ t
aðþrengdum	a θ θ r e i ŋ t ʏ m
æ	a i
æðar	a i ð a r
æðarodda	a i ð a r ɔ t a
æddi	a i t ɪ
æðey	a i ð e i
æði	a i ð ɪ
æðislegar	a i ð ɪ s l ɛ ɣ a r
æðislegt	a i ð ɪ s l ɛ ɣ t
æðruleysi	a i ð r ʏ l e i s ɪ
æðsta	a i ð s t a
æðsti	a i ð s t ɪ
æfa	a i v a
æfð	a i v ð
æfði	a i v ð ɪ
æfing	a i v i ŋ k
æfinga	a i v i ŋ k a
æfingar	a i v i ŋ k a r
æfingatímar	a i v i ŋ k a tʰ i m a r
æfingu	a i v i ŋ k ʏ
æfingum	a i v i ŋ k ʏ m
æfir	a i v ɪ r
æft	a i f t
æfum	a i v ʏ m
ægileif	a i j ɪ l e i v
ægir	a i j ɪ r
ægis	a i j ɪ s
ægisbraut	a i j ɪ s p r ø y t
ægisbyggð	a i j ɪ s p ɪ ɣ ð
ægisgarði	a i j ɪ s k a r ð ɪ
ægisgötu	a i j ɪ s k œ t ʏ
ægisholti	a i j ɪ s h ɔ l̥ t ɪ
ægisíðu	a i j ɪ s i ð ʏ
ægissíðu	a i j ɪ s i ð ʏ
ægisvöllum	a i j ɪ s v œ t l ʏ m
ælupokar	a i l ʏ pʰ ɔ k a r
æru	a i r ʏ
ærumeiðinga	a i r ʏ m e i ð i ŋ k a
ærumeiðingar	a i r ʏ m e i ð i ŋ k a r
æsgerður	a i s c ɛ r ð ʏ r
æsileg	a i s ɪ l ɛ ɣ
æsir	a i s ɪ r
æsispennandi	a i s ɪ s p ɛ n a n t ɪ
æsku	a i s k ʏ
æskuheimili	a i s k ʏ h e i m ɪ l ɪ
æskunnar	a i s k ʏ n a r
æskunni	a i s k ʏ n ɪ
æsuborgum	a i s ʏ p ɔ r k ʏ m
æsukór	a i s ʏ kʰ o u r
æsustöðum	a i s ʏ s t œ ð ʏ m
æti	a i t ɪ
ætíð	a i tʰ i ð
ætisskortur	a i t ɪ s s k ɔ r̥ t ʏ r
ætla	a i h t l a
ætlað	a i h t l a ð
ætlaði	a i h t l a ð ɪ
ætlaðir	a i h t l a ð ɪ r
ætlar	a i h t l a r
ætli	a i h t l ɪ
ætlið	a i h t l ɪ ð
ætluðu	a i h t l ʏ ð ʏ
ætluðum	a i h t l ʏ ð ʏ m
ætlum	a i h t l ʏ m
ætlunin	a i h t l ʏ n ɪ n
ættbálkar	a i h t p a u l̥ k a r
ættbálkastríðið	a i h t p a u l̥ k a s t r i ð ɪ ð
ættflokkur	a i h t f l ɔ h k ʏ r
ætti	a i h t ɪ
ættingja	a i h t i ɲ c a
ættingjar	a i h t i ɲ c a r
ættingjarnir	a i h t i ɲ c a r t n ɪ r
ættingjum	a i h t i ɲ c ʏ m
ættleiða	a i h t l e i ð a
ættleidd	a i h t l e i t
ættleiðingar	a i h t l e i ð i ŋ k a r
ættleiðingum	a i h t l e i ð i ŋ k ʏ m
ættu	a i h t ʏ
ættuð	a i h t ʏ ð
ættum	a i h t ʏ m
ævafornt	a i v a f ɔ r n t
ævarandi	a i v a r a n t ɪ
ævareiðir	a i v a r e i ð ɪ r
ævi	a i v ɪ
ævilangt	a i v ɪ l a u ŋ k t
ævinlega	a i v ɪ n l ɛ ɣ a
ævintýr	a i v ɪ n tʰ i r
ævintýraferð	a i v ɪ n tʰ i r a f ɛ r ð
ævintýraleg	a i v ɪ n tʰ i r a l ɛ ɣ
ævintýraþráin	a i v ɪ n tʰ i r a θ r a u ɪ n
ævisaga	a i v ɪ s a ɣ a
ævisögu	a i v ɪ s œ ɣ ʏ
ævistarf	a i v ɪ s t a r v
æxla	a i x s t l a
æxlast	a i x s t l a s t
af	a v
afa	a v a
áfall	a u f a t l
áfallahjálp	a u v a t l a ç a u l̥ p
áfalli	a u v a l ɪ
áfallnir	a u v a t l n ɪ r
áfanga	a u f a u ŋ k a
áfanganum	a u f a u ŋ k a n ʏ m
áfangastað	a u f a u ŋ k a s t a ð
áfangastöðum	a u f a u ŋ k a s t œ ð ʏ m
áfangi	a u f a u ŋ c ɪ
afar	a v a r
afarkosti	a v a r kʰ ɔ s t ɪ
afborganir	a v p ɔ r k a n ɪ r
afborgun	a v p ɔ r k ʏ n
afbrigðilegar	a v p r ɪ ɣ ð ɪ l ɛ ɣ a r
afbrot	a v p r ɔ t
afbrotum	a v p r ɔ t ʏ m
afburðanemendur	a v p ʏ r ð a n ɛ m ɛ n t ʏ r
afdráttarlausar	a v t r a u h t a r l ø y s a r
afdrepinu	a v t r ɛ p ɪ n ʏ
afeitrun	a v e i t r ʏ n
áfengi	a u v e i ɲ c ɪ
áfengis	a u v e i ɲ c ɪ s
áfengisauglýsingar	a u v e i ɲ c ɪ s ø y ɣ l i s i ŋ k a r
áfengisauglýsingum	a u v e i ɲ c ɪ s ø y ɣ l i s i ŋ k ʏ m
áfengisdrykkja	a u v e i ɲ c ɪ s t r ɪ h c a
áfengiskaup	a u v e i ɲ c ɪ s kʰ ø y p
áfengismeðferð	a u v e i ɲ c ɪ s m ɛ ð f ɛ r ð
áfengissölu	a u v e i ɲ c ɪ s œ l ʏ
áferð	a u f ɛ r ð
áfergjulega	a u f ɛ r c ʏ l ɛ ɣ a
afferma	a f ɛ r m a
afferming	a f ɛ r m i ŋ k
affermingin	a f ɛ r m i ɲ c ɪ n
afgangi	a v k a u ŋ c ɪ
afganginn	a v k a u ŋ c ɪ n
afgangur	a v k a u ŋ k ʏ r
afganistan	a v k a n ɪ s t a n
afganskra	a v k a n s k r a
afgönsk	a v k œ n s k
afgreiða	a v k r e i ð a
afgreidd	a v k r e i t
afgreiddi	a v k r e i t ɪ
afgreiði	a v k r e i ð ɪ
afgreiðslu	a v k r e i ð s t l ʏ
afgreiðslukassa	a v k r e i ð s t l ʏ kʰ a s a
afgreitt	a v k r e i h t
afhenda	a v h ɛ n t a
afhending	a v h ɛ n t i ŋ k
afhendingu	a v h ɛ n t i ŋ k ʏ
afhendir	a v h ɛ n t ɪ r
afhent	a v h ɛ n̥ t
afhentar	a v h ɛ n̥ t a r
afhenti	a v h ɛ n̥ t ɪ
afhentu	a v h ɛ n̥ t ʏ
afhentum	a v h ɛ n̥ t ʏ m
afhjúpa	a v ç u p a
afhjúpað	a v ç u p a ð
afhjúpaður	a v ç u p a ð ʏ r
afhjúpar	a v ç u p a r
afhjúpuð	a v ç u p ʏ ð
afhöfðaði	a v h œ v ð a ð ɪ
afhöfðuð	a v h œ v ð ʏ ð
afhöggvinn	a v h œ k v ɪ n
afi	a v ɪ
afkastamiklir	a v kʰ a s t a m ɪ kʰ l ɪ r
afklæddist	a v kʰ l a i t ɪ s t
afkoma	a v kʰ ɔ m a
afkoman	a v kʰ ɔ m a n
afkomu	a v kʰ ɔ m ʏ
afkróuð	a v kʰ r o u ʏ ð
afkvæmi	a v kʰ v a i m ɪ
afkvæmunum	a v kʰ v a i m ʏ n ʏ m
afl	a p l
afla	a p l a
aflabrestur	a p l a p r ɛ s t ʏ r
aflabrögðum	a p l a p r œ ɣ ð ʏ m
aflaga	a f l a ɣ a
aflagranda	a p l a k r a n t a
aflagt	a p l a ɣ t
aflahæstu	a p l a h a i s t ʏ
aflaheimilda	a p l a h e i m ɪ l t a
aflakór	a p l a k o u r
aflans	a p l a n s
aflaskip	a p l a s k ɪ p
aflaverðmæti	a p l a v ɛ r ð m a i t ɪ
afleggjaranum	a p l ɛ c a r a n ʏ m
afleiðing	a p l e i ð i ŋ k
afleiðingar	a p l e i ð i ŋ k a r
afleiðingin	a p l e i ð i ŋ c ɪ n
afleiðingum	a p l e i ð i ŋ k ʏ m
aflétt	a p l j ɛ h t
aflétta	a p l j ɛ h t a
afli	a p l ɪ
aflið	a p l ɪ ð
aflífa	a p l i v a
aflífaður	a p l i v a ð ʏ r
aflitað	a p l ɪ tʰ a ð
aflögð	a p l œ ɣ ð
áflogin	a u v l ɔ j ɪ n
aflraunamenn	a p l r ø y n a m ɛ n
afls	a p l s
aflýsa	a p l i s a
aflýst	a p l i s t
aflýstu	a p l i s t ʏ
afmæli	a v m a i l ɪ
afmælinu	a v m a i l ɪ n ʏ
afmælisbarninu	a v m a i l ɪ s p a t n ɪ n ʏ
afmælisgjöf	a v m a i l ɪ s c œ v
afmæliskveðju	a v m a i l ɪ s kʰ v ɛ ð j ʏ
afmælismót	a v m a i l ɪ s m o u t
afmælisveislu	a v m a i l ɪ s v e i s t l ʏ
afmælisveisluna	a v m a i l ɪ s v e i s t l ʏ n a
afmörkuð	a v m œ r̥ k ʏ ð
afnám	a p n a u m
afnámi	a p n a u m ɪ
afnáms	a p n a u m s
afneita	a p n e i t a
afnema	a p n ɛ m a
afnotaréttar	a p n ɔ t a r j ɛ h t a r
afnumin	a p n ʏ m ɪ n
áföngum	a u v ø y ŋ k ʏ m
áform	a u f ɔ r m
áforma	a u f ɔ r m a
áformar	a u f ɔ r m a r
áformuðu	a u f ɔ r m ʏ ð ʏ
áformum	a u f ɔ r m ʏ m
áföst	a u v œ s t
afplána	a u h p l a u n a
afráðið	a v r a u ð ɪ ð
áfram	a u v r a m
áframhaldandi	a u v r a m h a l t a n t ɪ
afrein	a v r e i n
afrek	a v r ɛ k
afreka	a v r ɛ k a
afrekaskrá	a v r ɛ k a s k r a u
afreki	a v r ɛ c ɪ
afreksmaður	a v r ɛ k s m a ð ʏ r
afreksmenn	a v r ɛ k s m ɛ n
afrískur	a f r i s k ʏ r
afrit	a v r ɪ t
afrituð	a v r ɪ t ʏ ð
áfrýja	a u v r i j a
áfrýjað	a u v r i j a ð
áfrýjaði	a u v r i j a ð ɪ
áfrýjar	a u v r i j a r
áfrýjuðu	a u v r i j ʏ ð ʏ
áfrýjun	a u v r i j ʏ n
áfrýjunarnefndin	a u v r i j ʏ n a r t n ɛ m t ɪ n
afsagnar	a f s a k n a r
afsalar	a f s a l a r
afskaplega	a f s k a p l ɛ ɣ a
afskiptasemi	a f s k ɪ f t a s ɛ m ɪ
afskipti	a f s k ɪ f t ɪ
afskiptum	a f s k ɪ f t ʏ m
afskrá	a f s k r a u
afskræmd	a f s k r a i m t
afskrifaðar	a f s k r ɪ f a ð a r
afskrifta	a f s k r ɪ f t a
afskriftir	a f s k r ɪ f t ɪ r
afskurð	a f s k ʏ r ð
afslappaðri	a f s t l a h p a ð r ɪ
afslappaður	a f s t l a h p a ð ʏ r
afslátt	a f s t l a u h t
afsláttarkorti	a f s t l a u h t a r kʰ ɔ r̥ t ɪ
afslöppuð	a f s t l œ h p ʏ ð
afsögn	a f s œ k n
afsöguð	a f s œ ɣ ʏ ð
afsökunar	a f s œ k ʏ n a r
afsökunarbeiðni	a f s œ k ʏ n a r p e i ð n ɪ
afstaða	a f s t a ð a
afstaðin	a f s t a ð ɪ n
afstöðu	a f s t œ ð ʏ
afstýrðu	a f s t i r ð ʏ
aftan	a f t a n
aftanhæð	a f t a n h a i ð
aftar	a f t a r
aftengdu	a v tʰ e i ŋ t ʏ
aftöku	a f t œ k ʏ
aftur	a f t ʏ r
afturábak	a f t ʏ r a u p a k
afturelding	a f t ʏ r ɛ l t i ŋ k
aftureldingar	a f t ʏ r ɛ l t i ŋ k a r
aftureldingu	a f t ʏ r ɛ l t i ŋ k ʏ
afturendanum	a f t ʏ r ɛ n t a n ʏ m
afturför	a f t ʏ r f œ r
afturfótunum	a f t ʏ r f o u tʰ ʏ n ʏ m
afturhaldssamt	a f t ʏ r h a l t s s a m̥ t
afturhvarf	a f t ʏ r xʷ a r v
afturkallaði	a f t ʏ r kʰ a t l a ð ɪ
afturkallar	a f t ʏ r kʰ a t l a r
afturkalli	a f t ʏ r̥ k a l ɪ
afturkölluð	a f t ʏ r kʰ œ t l ʏ ð
aftursætinu	a f t ʏ r s a i t ɪ n ʏ
afturvirkir	a f t ʏ r v ɪ r̥ k ɪ r
afurða	a v ʏ r ð a
afurðaverð	a v ʏ r ð a v ɛ r ð
afurðum	a v ʏ r ð ʏ m
afvopnun	a v v ɔ h p n ʏ n
afþakkað	a v θ a h k a ð
afþakkaði	a v θ a h k a ð ɪ
aga	a ɣ a
ágæt	a u c a i t
ágæta	a u c a i t a
ágætasta	a u c a i t a s t a
ágætis	a u c a i t ɪ s
ágætlega	a u c a i t l ɛ ɣ a
ágætt	a u c a i h t
ágalla	a u a t l a
ágangi	a u k a u ŋ c ɪ
agata	a ɣ a t a
agða	a ɣ ð a
ágirnist	a u c ɪ r n ɪ s t
agla	a k l a
agnarsmáu	a k n a r s m a u ʏ
agndofa	a k n t ɔ v a
agnea	a k n ɛ a
agniágústáki	a k n ɪ a u u s tʰ a u c ɪ
ágóði	a u k o u ð ɪ
ágöllum	a u k œ t l ʏ m
ágreining	a u k r e i n i ŋ k
ágreiningsmál	a u k r e i n i ŋ k s m a u l
ágreiningur	a u k r e i n i ŋ k ʏ r
ágreiningurinn	a u k r e i n i ŋ k ʏ r ɪ n
agúrkum	a k u r̥ k ʏ m
agúrkunni	a k u r̥ k ʏ n ɪ
ágúst	a u k u s t
ágústa	a u k u s t a
ágústína	a u k u s t i n a
ágústlok	a u k u s t l ɔ k
ágústs	a u k u s t s
áhætta	a u h a i h t a
áhættan	a u h a i h t a n
áhættu	a u h a i h t ʏ
áhættufjárfestingum	a u h a i h t ʏ f j a u r̥ f ɛ s t i ŋ k ʏ m
áhættulaust	a u h a i h t ʏ l ø y s t
áhættunni	a u h a i h t ʏ n ɪ
áhættusöm	a u h a i h t ʏ s œ m
áhættuþátturinn	a u h a i h t ʏ θ a u h t ʏ r ɪ n
áhafnarinnar	a u h a p n a r ɪ n a r
áhafnir	a u h a p n ɪ r
áhersla	a u h ɛ r̥ s t l a
áherslur	a u h ɛ r̥ s t l ʏ r
áheyrendapalla	a u h e i r ɛ n t a p a t l a
áheyrendur	a u h e i r ɛ n t ʏ r
áheyrnar	a u h e i r t n a r
áhlaup	a u l̥ ø y p
áhlaupi	a u l̥ ø y p ɪ
áhöfn	a u h œ p n
áhöfnin	a u h œ p n ɪ n
áhorf	a u h ɔ r v
áhorfendum	a u h ɔ r v ɛ n t ʏ m
áhorfendur	a u h ɔ r v ɛ n t ʏ r
áhorfendurnir	a u h ɔ r v ɛ n t ʏ r t n ɪ r
áhrif	a u r̥ ɪ v
áhrifa	a u r̥ ɪ v a
áhrifamesta	a u r̥ ɪ v a m ɛ s t a
áhrifamikil	a u r̥ ɪ v a m ɪ c ɪ l
áhrifin	a u r̥ ɪ v ɪ n
áhrifum	a u r̥ ɪ v ʏ m
áhuga	a u h ʏ ɣ a
áhugaleysið	a u h ʏ ɣ a l e i s ɪ ð
áhugamenn	a u h ʏ ɣ a m ɛ n
áhugann	a u h ʏ ɣ a n
áhugasamari	a u h ʏ ɣ a s a m a r ɪ
áhugasamir	a u h ʏ ɣ a s a m ɪ r
áhugaverðar	a u h ʏ ɣ a v ɛ r ð a r
áhugi	a u h ʏ j ɪ
áhuginn	a u h ʏ ɣ ɪ n
áhyggjuefni	a u h ɪ c ʏ ɛ p n ɪ
áhyggjufullu	a u h ɪ c ʏ f ʏ t l ʏ
áhyggjufullur	a u h ɪ c ʏ f ʏ t l ʏ r
áhyggjulaus	a u h ɪ c ʏ l ø y s
áhyggjum	a u h ɪ c ʏ m
áhyggjur	a u h ɪ c ʏ r
áin	a u ɪ n
aka	a k a
ákabúð	a u kʰ a p u ð
akademískur	a k a t ɛ m i s k ʏ r
ákæra	a u c a i r a
ákærð	a u c a i r ð
ákærðir	a u c a i r ð ɪ r
ákærður	a u c a i r ð ʏ r
ákært	a u c a i r̥ t
ákæru	a u c a i r ʏ
ákærum	a u c a i r ʏ m
ákærur	a u c a i r ʏ r
ákærurnar	a u c a i r ʏ r t n a r
ákæruskjal	a u c a i r ʏ s c a l
ákæruvaldið	a u c a i r ʏ v a l t ɪ ð
ákæruvaldinu	a u c a i r ʏ v a l t ɪ n ʏ
ákafir	a u kʰ a v ɪ r
ákaflega	a u kʰ a p l ɛ ɣ a
ákaft	a u k a f t
ákall	a u kʰ a t l
ákalli	a u kʰ a l ɪ
akandi	a kʰ a n t ɪ
akbraut	a k p r ø y t
aki	a c ɪ
akkeri	a h c ɛ r ɪ
akkerismerkis	a h c ɛ r ɪ s m ɛ r̥ c ɪ s
akkúrat	a h k u r a t
akrakór	a k r a k o u r
akrakoti	a k r a kʰ ɔ t ɪ
akralandi	a k r a l a n t ɪ
akralind	a k r a l ɪ n t
akraseli	a k r a s ɛ l ɪ
akreina	a k r e i n a
akreinum	a k r e i n ʏ m
akri	a k r ɪ
akstri	a k s t r ɪ
akstur	a k s t ʏ r
aksturinn	a k s t ʏ r ɪ n
aksturslag	a k s t ʏ r̥ s t l a ɣ
akurbakka	a k ʏ r p a h k a
akurbraut	a k ʏ r p r ø y t
akurbrekku	a k ʏ r p r ɛ h k ʏ
akureyjum	a k ʏ r e i j ʏ m
akureyrar	a k ʏ r e i r a r
akureyrarflugvelli	a k ʏ r e i r a r̥ f l ʏ ɣ v ɛ t l ɪ
akureyri	a k ʏ r e i r ɪ
akureyringum	a k ʏ r e i r i ŋ k ʏ m
akurgerði	a k ʏ r c ɛ r ð ɪ
akurhlíð	a k ʏ r l̥ i ð
akurhóli	a k ʏ r h o u l ɪ
akurholti	a k ʏ r h ɔ l̥ t ɪ
akurhúsavegi	a k ʏ r h u s a v e i j ɪ
akurhúsum	a k ʏ r h u s ʏ m
akurhvarfi	a k ʏ r xʷ a r v ɪ
akurprýði	a k ʏ r pʰ r i ð ɪ
akursíðu	a k ʏ r̥ s i ð ʏ
akurtröðum	a k ʏ r tʰ r œ ð ʏ m
akurvöllum	a k ʏ r v œ t l ʏ m
ákvað	a u kʰ v a ð
ákváðum	a u kʰ v a u ð ʏ m
ákvæði	a u kʰ v a i ð ɪ
ákvarðanir	a u kʰ v a r ð a n ɪ r
ákveða	a u kʰ v ɛ ð a
ákveði	a u kʰ v ɛ ð ɪ
ákveðið	a u kʰ v ɛ ð ɪ ð
ákveðin	a u kʰ v ɛ ð ɪ n
ákveðinn	a u kʰ v ɛ ð ɪ n
ákveðinna	a u kʰ v ɛ ð ɪ n a
ákveðna	a u kʰ v ɛ ð n a
ákveður	a u kʰ v ɛ ð ʏ r
ákvörðun	a u kʰ v œ r ð ʏ n
ákvörðunin	a u kʰ v œ r ð ʏ n ɪ n
ákvörðunina	a u kʰ v œ r ð ʏ n ɪ n a
ákvörðuninni	a u kʰ v œ r ð ʏ n ɪ n ɪ
ákvörðunum	a u kʰ v œ r ð ʏ n ʏ m
álaborgar	a u l a p ɔ r k a r
álafossi	a u l a f ɔ s ɪ
álafossvegi	a u l a f ɔ s v e i j ɪ
álag	a u l a ɣ
álagið	a u l a j ɪ ð
álagning	a u l a k n i ŋ k
álagningarseðla	a u l a k n i ŋ k a r s ɛ ð l a
álagningarskráar	a u l a k n i ŋ k a r s k r a u a r
álagningarskráin	a u l a k n i ŋ k a r s k r a u ɪ n
álagningu	a u l a k n i ŋ k ʏ
álagranda	a u l a k r a n t a
álakvísl	a u l a kʰ v i s t l
álalind	a u l a l ɪ n t
álaugarey	a u l ø y ɣ a r e i
álaugarvegi	a u l ø y ɣ a r v e i j ɪ
álaþingi	a u l a θ i ŋ c ɪ
alba	a l p a
albanía	a l p a n i j a
albanir	a l p a n ɪ r
albert	a l p ɛ r̥ t
alberta	a l p ɛ r̥ t a
albína	a l p i n a
albinóa	a l p ɪ n o u a
albjart	a l p j a r̥ t
albróður	a l p r o u ð ʏ r
alda	a l t a
aldagamla	a l t a k a m l a
aldar	a l t a r
aldarafmæli	a l t a r a v m a i l ɪ
aldarfjórðung	a l t a r f j o u r ð u ŋ k
aldarinnar	a l t a r ɪ n a r
aldir	a l t ɪ r
aldís	a l t i s
aldraða	a l t r a ð a
aldraðra	a l t r a ð r a
aldrei	a l t r e i
aldri	a l t r ɪ
