a	ox
adhuhan	a dh u h a n
adhuken	a dh u k ex n
adhum	a dh u m
adhus	a dh u s
adhwara	ox dh w ox r ox
adhédhasar	a dh e dh a s a r
adi	a d i
adiaké	a d i a k e
adianto	a d i a n t o
adicara	a d i c ox r ox
adicaranipun	a d i c a r a n i p u n
adicarané	a d i c a r a n e
adidas	a d i d a s
adidaya	a d i d ox y ox
adigang	a d i g a ng
adige	a d i g ex
adiguna	a d i g u n ox
adigung	a d i g u ng
adik	a d i '
adikarya	a d i k ox r y ox
adiknipun	a d i k n i p u n
adiknya	a d i k ny ox
adikodrati	a d i k o d r a t i
adiké	a d i k e
adil	a d i l
adilipun	a d i l i p u n
adimanggala	a d i m ox ng g ox l ox
adimitra	a d i m i t r ox
adimulyo	a d i m u l y o
adinda	a d i n d ox
adine	a d i n ex
adinegoro	a d i n ex g o r o
ading	a d i ng
adiningrat	a d i n i ng r a t
adiné	a d i n e
adiparwa	a d i p ox r w ox
adipati	a d i p a t i
adipradana	a d i p r ox d ox n ox
adisara	a d i s ox r ox
adishwara	a d i sy w ox r ox
adisi	a d i s i
adisucipto	a d i s u c i p t o
adisumarmo	a d i s u m a r m o
adiswara	a d i s w ox r ox
aditi	a d i t i
aditif	a d i t i f
aditya	a d i t y ox
adityaredhaya	a d i t y a r ex dh ox y ox
adityawarman	a d i t y a w a r m a n
adiutomo	a d i u t o m o
adiwerna	a d i w ex r n ox
adjektif	a j ex k t i f
adjeng	a j ex ng
adji	a j i
adjie	a j i ex
adler	a d l ex r
adliswil	a d l i s w i l
adly	a d l y
adm	a d m
admetos	a d m ex t o s
administrasi	a d m i n i s t r a s i
administrasipun	a d m i n i s t r a s i p u n
administratif	a d m i n i s t r a t i f
administrator	a d m i n i s t r a t o r
adminitrator	a d m i n i t r a t o r
adminstrasi	a d m i n s t r a s i
adnan	a d n a n
adnus	a d n u s
adobe	a d o b ex
adoensis	a d u n s i s
adoh	a d o h
adohan	a d o h a n
adohé	a d o h e
adol	a d o l
adolescence	a d o l ex s c ex n c ex
adolf	a d o l f
adolphe	a d o l p h ex
adon	a d o n
adonai	a d o n a i
adonan	a d o n a n
adonanipun	a d o n a n i p u n
adonis	a d o n i s
adopsi	a d o p s i
adorable	a d o r a b l ex
ados	a d o s
adosa	a d o s ox
adowa	a d o w ox
adpati	a d p a t i
adrenal	a d r ex n a l
adrenalin	a d r ex n a l i n
adrenaline	a d r ex n a l i n ex
adreng	a d r ex ng
adrenomedulin	a d r ex n o m ex d u l i n
adrian	a d r i a n
adriana	a d r i ox n ox
adriatik	a d r i a t i '
adrien	a d r i ex n
adrika	a d r i k ox
adsorpsi	a d s o r p s i
adu	a d u
adua	a d u ox
aduk	a d u '
adul	a d u l
adulthhood	a d u l th h o o d
aduluran	a d u l u r a n
adungan	a d u ng a n
adunni	a d u n n i
adus	a d u s
adusé	a d u s e
adveksi	a d f ex k s i
adven	a d f ex n
advent	a d f ex n t
adventure	a d f ex n t u r ex
adventures	a d f ex n t u r ex s
adventus	a d f ex n t u s
advertentieblad	a d f ex r t ex n t i ex b l a d
advertising	a d f ex r t i s i ng
advokat	a d f o k a t
adwayawarman	a d w a y a w a r m a n
adya	ox d y ox
adz	a d z
adzan	a d z a n
adèdasar	a d e d a s a r
adégan	a d e g a n
ae	a ex
aederin	a ex d ex r i n
aegea	a ex g ex ox
aegean	a ex g ex a n
aegypti	a ex g y p t i
aegyptiaca	a ex g y p t i ox c ox
aegyptica	a ex g y p t i c ox
aelia	a ex l i ox
aello	a ex l l o
aelurodon	a ex l u r o d o n
aenas	a ex n a s
aeneid	a ex n ex i d
aepycamelus	a ex p y c a m ex l u s
aerasi	a ex r a s i
aero	a ex r o
aerobik	a ex r o b i '
aerodinamika	a ex r o d i n a m i k ox
aerodinamis	a ex r o d i n a m i s
aerosmith	a ex r o s m i th
aerosol	a ex r o s o l
aerospace	a ex r o s p a c ex
aeruginosa	a ex r u g i n o s ox
aeschnines	a ex s kh n i n ex s
aeschynomene	a ex s kh y n o m ex n ex
aetiosetus	a ex t i o s ex t u s
aey	a ex y
afaese	a f a ex s ex
afdzaruddin	a f d z a r u d d i n
afero	a f ex r o
affairs	a f f a i r s
affandi	a f f a n d i
afferent	a f f ex r ex n t
affero	a f f ex r o
affidatuzzahro	a f f i d a t u z z a h r o
affinis	a f f i n i s
affleck	a f f l ex c '
affliasi	a f f l i a s i
affordable	a f f o r d a b l ex
affumicate	a f f u m i c a t ex
afgan	a f g a n
afganistan	a f g a n i s t a n
afgansyah	a f g a n sy a h
afgestaan	a f g ex s t a a n
afghan	a f g h a n
afghanistan	a f g h a n i s t a n
afif	a f i f
afifa	a f i f ox
afiff	a f i f f
afiliasi	a f i l i a s i
aflatoksin	a f l a t o k s i n
afmaay	a f m a a y
afni	a f n i
afonso	a f o n s o
africa	a f r i c ox
african	a f r i c a n
afrika	a f r i k ox
afrikaans	a f r i k a a n s
afrikaner	a f r i k a n ex r
afro	a f r o
afrodit	a f r o d i t
afwan	a f w a n
ag	a g
agagama	ox g ox g ox m ox
agak	ox g ox '
agaknya	ox g ox k ny ox
agam	a g a m
agama	ox g ox m ox
agamais	a g a m a i s
agamamé	a g a m a m e
agaman	a g a m a n
agamane	a g a m a n ex
agamaning	a g a m a n i ng
agamanipun	a g a m a n i p u n
agamané	a g a m a n e
agamawi	a g a m a w i
agami	a g a m i
agaminipun	a g a m i n i p u n
agamis	a g a m i s
agapitus	a g a p i t u s
agar	a g a r
agassi	a g a s s i
agastia	a g a s t i ox
agastya	ox g ox s t y ox
agastyaparwa	ox g ox s t y ox p ox r w ox
agatha	ox g ox th ox
agathis	a g a th i s
agawe	a g a w ex
agawé	a g a w e
agazzi	a g a z z i
age	a g ex
agedha	a g ex dh ox
agedng	a g ex d ng
ageg	a g ex g
agem	a g ex m
ageman	a g ex m a n
agemane	a g ex m a n ex
agemanipun	a g ex m a n i p u n
agemipun	a g ex m i p u n
agen	a g ex n
agence	a g ex n c ex
agendha	a g ex n dh ox
ageng	a g ex ng
agengan	a g ex ng a n
agengdyah	a g ex ng d y a h
agengh	a g ex ng h
agengipun	a g ex ng i p u n
agensi	a g ex n s i
agensia	a g ex n s i ox
ager	a g ex r
agesang	a g ex s a ng
aget	a g ex t
aggota	a g g o t ox
agigator	a g i g a t o r
agincourt	a g i n c o u r t
aging	a g i ng
agisca	a g i s c ox
aglik	a g l i '
agnatha	ox g n ox th ox
agneau	a g n ex a u
agnes	a g n ex s
agnesia	a g n ex s i ox
agnew	a g n ex w
agnez	a g n ex z
agni	a g n i
agnon	a g n o n
agoestinoes	a g u s t i n u s
agora	a g o r ox
agra	ox g r ox
agraria	a g r a r i ox
agraris	a g r a r i s
agregasi	a g r ex g a s i
agresif	a g r ex s i f
agricultural	a g r i c u l t u r a l
agriculture	a g r i c u l t u r ex
agrikultur	a g r i k u l t u r
agrikultura	a g r i k u l t u r ox
agrion	a g r i o n
agrionines	a g r i o n i n ex s
agro	a g r o
agrobacterium	a g r o b a c t ex r i u m
agronomi	a g r o n o m i
agrowisata	a g r o w i s ox t ox
agrèsif	a g r e s i f
agrégat	a g r e g a t
ags	a g s
aguilar	a g u i l a r
aguilera	a g u i l ex r ox
aguinaldo	a g u i n a l d o
agul	a g u l
agum	a g u m
agung	a g u ng
agungaken	a g u ng a k ex n
agungaké	a g u ng a k e
agungipun	a g u ng i p u n
agus	a g u s
agustadi	a g u s t a d i
agustina	a g u s t i n ox
agustinus	a g u s t i n u s
agustus	a g u s t u s
agustusan	a g u s t u s a n
agèn	a g e n
agé	a g e
agén	a g e n
agéng	a g e ng
ah	a h
ahad	a h a d
ahadits	a h a d i t s
ahalya	ox h ox l y ox
ahau	a h a u
ahe	a h ex
ahern	a h ex r n
ahilawati	a h i l a w a t i
ahkamuhu	a h k a m u h u
ahli	a h l i
ahlul	a h l u l
ahmad	a h m a d
ahmadi	a h m a d i
ahmadiyah	a h m a d i y a h
ahmadiyyah	a h m a d i y y a h
ahmadun	a h m a d u n
ahmed	a h m ex d
ahupahau	a h u p a h a u
ahura	a h u r ox
ahusi	a h u s i
ahuti	a h u t i
ahuu	a h u u
ahvenanmaa	a h f ex n ox n m ox ox
ahzaba	ox h z ox b ox
ai	a i
aia	a i ox
aias	a i a s
aib	a i b
aiboy	a i b o y
aichi	a i kh i
aida	a i d ox
aides	a i d ex s
aidil	a i d i l
aidit	a i d i t
aigis	a i g i s
aiken	a i k ex n
aiki	a i k i
aikombo	a i k o m b o
aiku	a i k u
ailano	a i l a n o
ailurops	a i l u r o p s
ain	a i n
aingwamarta	a i ng w ox m ox r t ox
ainu	a i n u
ainun	a i n u n
air	a i r
aira	a i r ox
airasia	a i r a s i ox
airbus	a i r b u s
aire	a i r ex
aires	a i r ex s
airillah	a i r i l l a h
airkoe	a i r k u
airku	a i r k u
airlangga	a i r l ox ng g ox
airlines	a i r l i n ex s
airnya	a i r ny ox
airola	a i r o l ox
airport	a i r p o r t
airsanya	a i r s ox ny ox
airwaves	a i r w a f ex s
airways	a i r w a y s
airès	a i r e s
airé	a i r e
ais	a i s
aisha	a i sy ox
aishwarya	a i sy w ox r y ox
aislingen	a i s l i ng ex n
aisyah	a i sy a h
aita	a i t ox
aivas	a i f a s
aix	a i k s
aja	ox j ox
ajag	a j a g
ajaib	a j a i b
ajak	ox j ox '
ajakan	a j a k a n
ajalipun	a j a l i p u n
ajalé	a j a l e
ajang	a j a ng
ajar	a j a r
ajaran	a j a r a n
ajarané	a j a r a n e
ajaria	a j a r i ox
ajas	a j a s
ajax	a j a k s
ajay	a j a y
ajedrez	a j ex d r ex z
ajeg	a j ex g
ajejuluk	a j ex j u l u '
ajek	a j ex '
ajektivé	a j ex k t i f e
ajeneng	a j ex n ex ng
ajeng	a j ex ng
ajengipun	a j ex ng i p u n
ajeni	a j ex n i
ajenis	a j ex n i s
ajer	a j ex r
aji	a j i
ajian	a j i a n
ajiané	a j i a n e
ajining	a j i n i ng
ajinomoto	a j i n o m o t o
ajiné	a j i n e
ajiwa	a j i w ox
ajoe	a j u
ajrak	ox j r ox '
ajrih	a j r i h
ajudan	a j u d a n
ajudane	a j u d a n ex
ajur	a j u r
ajuring	a j u r i ng
ajurmumurpadha	a j u r m u m u r p ox dh ox
ajwibah	a j w i b a h
ajèni	a j e n i
ak	ox '
akabri	a k a b r i
akad	a k a d
akadami	a k a d a m i
akademi	a k a d ex m i
akademik	a k a d ex m i '
akademis	a k a d ex m i s
akademise	a k a d ex m i s ex
akademisi	a k a d ex m i s i
akademisipun	a k a d ex m i s i p u n
akadhemi	a k a dh ex m i
akadhemisi	a k a dh ex m i s i
akadémi	a k a d e m i
akah	a k a h
akahe	a k a h ex
akal	a k a l
akalin	a k a l i n
akalipun	a k a l i p u n
akamaru	a k a m a r u
akan	a k a n
akane	a k a n ex
akantetapi	a k a n t ex t a p i
akar	a k a r
akare	a k a r ex
akarologi	a k a r o l o g i
akarya	ox k ox r y ox
akaré	a k a r e
akas	a k a s
akasa	ox k ox s ox
akasaka	ox k ox s ox k ox
akashi	a k a sy i
akashiyake	a k a sy i y a k ex
akashiyaki	a k a sy i y a k i
akasia	a k a s i ox
akbar	a k b a r
akbarsyahid	a k b a r sy a h i d
ake	a k ex
akeh	a k ex h
akehan	a k ex h a n
akehe	a k ex h ex
akehé	a k ex h e
akekanthen	a k ex k a n th ex n
akemi	a k ex m i
aken	a k ex n
akershus	a k ex r sy u s
akfit	a k f i t
akhaia	a kh a i ox
akhemeniyah	a kh ex m ex n i y a h
akherat	a kh ex r a t
akhih	a kh i h
akhilles	a kh i l l ex s
akhir	a kh i r
akhiran	a kh i r a n
akhirat	a kh i r a t
akhire	a kh i r ex
akhiri	a kh i r i
akhiripun	a kh i r i p u n
akhirnya	a kh i r ny ox
akhirè	a kh i r e
akhiré	a kh i r e
akhlak	ox kh l ox '
akhlake	a kh l a k ex
akhmad	a kh m a d
akhmedovich	a kh m ex d o f i kh
akhtar	a kh t a r
akhunds	a kh u n d s
aki	a k i
akibat	a k i b a t
akibate	a k i b a t ex
akibatipun	a k i b a t i p u n
akibatnya	a k i b ox t ny ox
akibaté	a k i b a t e
akih	a k i h
akihabara	a k i h ox b ox r ox
akihito	a k i h i t o
akik	a k i '
akimoto	a k i m o t o
akin	a k i n
akinet	a k i n ex t
aking	a k i ng
akir	a k i r
akiran	a k i r a n
akiré	a k i r e
akita	a k i t ox
akitaka	a k i t ox k ox
akitvitas	a k i t f i t a s
akiva	a k i f ox
akka	ox k k ox
akkad	a k k a d
akkadia	a k k a d i ox
akkadian	a k k a d i a n
akmal	a k m a l
akomodasi	a k o m o d a s i
akon	a k o n
akord	a k o r d
akrab	a k r a b
akrabé	a k r a b e
akram	a k r a m
akrama	ox k r ox m ox
akreditasi	a k r ex d i t a s i
akri	a k r i
akrisios	a k r i s i o s
akrobat	a k r o b a t
akrokordon	a k r o k o r d o n
akronim	a k r o n i m
akrotiri	a k r o t i r i
akréditasi	a k r e d i t a s i
aksara	ox k s ox r ox
aksarane	a k s a r a n ex
aksaranipun	a k s a r a n i p u n
aksarané	a k s a r a n e
akselerasi	a k s ex l ex r a s i
aksen	a k s ex n
akses	a k s ex s
aksesipun	a k s ex s i p u n
aksesori	a k s ex s o r i
aksesoris	a k s ex s o r i s
aksi	a k s i
aksial	a k s i a l
aksine	a k s i n ex
akson	a k s o n
aksoplasma	a k s o p l ox s m ox
aktif	a k t i f
aktifis	a k t i f i s
aktifitas	a k t i f i t a s
aktifitasé	a k t i f i t a s e
aktifé	a k t i f e
aktin	a k t i n
akting	a k t i ng
aktinge	a k t i ng ex
aktingipun	a k t i ng i p u n
aktingé	a k t i ng e
aktinida	a k t i n i d ox
aktinium	a k t i n i u m
aktinomorf	a k t i n o m o r f
aktip	a k t i p
aktivis	a k t i f i s
aktivitas	a k t i f i t a s
aktor	a k t o r
aktris	a k t r i s
aktrris	a k t r r i s
aktual	a k t u a l
aktuator	a k t u a t o r
aku	a k u
akuarium	a k u a r i u m
akub	a k u b
akuisisi	a k u i s i s i
akulturasi	a k u l t u r a s i
akumulasi	a k u m u l a s i
akun	a k u n
akupa	a k u p ox
akur	a k u r
akurasi	a k u r a s i
akurat	a k u r a t
akustik	a k u s t i '
akut	a k u t
akuwu	a k u w u
akè	a k e
akèh	a k e h
akèhing	a k e h i ng
akèhè	a k e h e
akèhé	a k e h e
aké	a k e
akéarupa	a k e a r u p ox
akéh	a k e h
akéhé	a k e h e
akêh	a k e h
al	a l
ala	ox l ox
alabama	ox l ox b ox m ox
alabamamilebymile	a l a b a m a m i l ex b y m i l ex
alad	a l a d
alah	a l a h
alaihi	a l a i h i
alain	a l a i n
alam	a l a m
alamain	a l a m a i n
alaman	a l a m a n
alamanda	ox l ox m ox n d ox
alamanni	a l a m a n n i
alamat	a l a m a t
alamatipun	a l a m a t i p u n
alamaté	a l a m a t e
alameda	a l a m ex d ox
alami	a l a m i
alamiah	a l a m i a h
alamiyah	a l a m i y a h
alamsyah	a l a m sy a h
alamé	a l a m e
alan	a l a n
alang	a l a ng
alangan	a l a ng a n
alangane	a l a ng a n ex
alangi	a l a ng i
alanson	a l a n s o n
alap	a l a p
alarcon	a l a r c o n
alas	a l a s
alasan	a l a s a n
alasanipun	a l a s a n i p u n
alasané	a l a s a n e
alase	a l a s ex
alaska	ox l ox s k ox
alasé	a l a s e
alat	a l a t
alata	ox l ox t ox
alatas	a l a t a s
alatipun	a l a t i p u n
alawiyah	a l a w i y a h
alba	ox l b ox
alban	a l b a n
albani	a l b a n i
albania	a l b a n i ox
albar	a l b a r
albategnius	a l b a t ex g n i u s
alben	a l b ex n
albendazole	a l b ex n d a z o l ex
alberic	a l b ex r i c
albert	a l b ex r t
alberta	a l b ex r t ox
albertini	a l b ex r t i n i
albertosaurus	a l b ex r t o s a u r u s
albertson	a l b ex r t s o n
albertus	a l b ex r t u s
albh	a l b h
albinisme	a l b i n i s m ex
albiol	a l b i o l
albion	a l b i o n
albizia	a l b i z i ox
alblas	a l b l a s
alblasserdam	a l b l a s s ex r d a m
albolabris	a l b o l a b r i s
alborz	a l b o r z
albrecht	a l b r ex kh t
albucais	a l b u c a i s
albucasis	a l b u c a s i s
albuginea	a l b u g i n ex ox
album	a l b u m
albume	a l b u m ex
albumin	a l b u m i n
albuminoid	a l b u m i n o i d
albumé	a l b u m e
albuum	a l b u u m
alby	a l b y
alcatel	a l c a t ex l
alcatraz	a l c a t r a z
alcindor	a l c i n d o r
alcohol	a l c o h o l
alcuhi	a l c u h i
alda	ox l d ox
aldebaran	a l d ex b a r a n
aldehid	a l d ex h i d
aldehida	a l d ex h i d ox
alderamin	a l d ex r a m i n
aldi	a l d i
aldia	a l d i ox
aldiano	a l d i a n o
aldo	a l d o
aldobrandini	a l d o b r a n d i n i
aldolase	a l d o l a s ex
aldosteron	a l d o s t ex r o n
ale	a l ex
alea	a l ex ox
alec	a l ex c
alef	a l ex f
alegori	a l ex g o r i
aleh	a l ex h
aleksander	a l ex k s a n d ex r
aleksandr	a l ex k s a n d r
aleksandrovich	a l ex k s a n d r o f i kh
aleksei	a l ex k s ex i
aleksius	a l ex k s i u s
alel	a l ex l
alelopati	a l ex l o p a t i
aleman	a l ex m a n
alemanni	a l ex m a n n i
alemannia	a l ex m a n n i ox
alengka	a l ex ng k ox
alenia	a l ex n i ox
aleppo	a l ex p p o
alergi	a l ex r g i
alesan	a l ex s a n
alesanipun	a l ex s a n i p u n
alesané	a l ex s a n e
alesi	a l ex s i
alessandra	a l ex s s ox n d r ox
alessandria	a l ex s s a n d r i ox
alessandro	a l ex s s a n d r o
alex	a l ex k s
alexa	a l ex k s ox
alexander	a l ex k s a n d ex r
alexandra	a l ex k s ox n d r ox
alexandre	a l ex k s a n d r ex
alexandria	a l ex k s a n d r i ox
alexis	a l ex k s i s
alexius	a l ex k s i u s
alfa	ox l f ox
alfabet	a l f a b ex t
alfabèt	a l f a b e t
alfabètis	a l f a b e t i s
alfandy	a l f a n d y
alfanya	ox l f ox ny ox
alfhild	a l f h i l d
alfian	a l f i a n
alfiansyah	a l f i a n sy a h
alfons	a l f o n s
alfonso	a l f o n s o
alfred	a l f r ex d
alfredo	a l f r ex d o
alga	ox l g ox
algae	a l g a ex
algerie	a l g ex r i ex
algojo	a l g o j o
algora	a l g o r ox
algorithms	a l g o r i th m s
algoritma	a l g o r i t m ox
algérie	a l g e r i ex
alhamdulilah	a l h a m d u l i l a h
alhamdulillah	a l h a m d u l i l l a h
alhasil	a l h a s i l
alhijrah	a l h i j r a h
ali	a l i
alia	a l i ox
aliando	a l i a n d o
aliansi	a l i a n s i
alias	a l i a s
aliasnipun	a l i a s n i p u n
alibaba	a l i b ox b ox
alice	a l i c ex
alicia	a l i c i ox
alien	a l i ex n
alif	a l i f
alifatik	a l i f a t i '
alifian	a l i f i a n
alignment	a l i g n m ex n t
alih	a l i h
alihaksara	a l i h ox k s ox r ox
alihbasané	a l i h b a s a n e
aliin	a l i i n
alik	a l i '
alika	a l i k ox
alim	a l i m
alima	a l i m ox
alimin	a l i m i n
aline	a l i n ex
alinskie	a l i n s k i ex
alinéa	a l i n e ox
aliran	a l i r a n
alirane	a l i r a n ex
aliranipun	a l i r a n i p u n
alirané	a l i r a n e
alis	a l i s
alise	a l i s ex
alisha	a l i sy ox
alisipun	a l i s i p u n
alisjahbana	a l i sy ox h b ox n ox
alismatifolia	a l i s m a t i f o l i ox
alison	a l i s o n
alissa	a l i s s ox
alisé	a l i s e
alit	a l i t
alitipun	a l i t i p u n
aliva	a l i f ox
aliyev	a l i y ex f
alizé	a l i z e
alizée	a l i z e ex
aliénasi	a l i e n a s i
aljabar	a l j a b a r
aljazair	a l j a z a i r
alkadrie	a l k a d r i ex
alkali	a l k a l i
alkaloid	a l k a l o i d
alkana	ox l k ox n ox
alkes	a l k ex s
alkestis	a l k ex s t i s
alketis	a l k ex t i s
alkimia	a l k i m i ox
alkitab	a l k i t a b
alkmaar	a l k m a a r
alkmene	a l k m ex n ex
alkohol	a l k o h o l
